run,type,module,name,attrname,attrvalue,value
General-0-20250411-14:41:38-6613,runattr,,,configname,General,
General-0-20250411-14:41:38-6613,runattr,,,datetime,20250411-14:41:38,
General-0-20250411-14:41:38-6613,runattr,,,datetimef,20250411-144138,
General-0-20250411-14:41:38-6613,runattr,,,experiment,General,
General-0-20250411-14:41:38-6613,runattr,,,inifile,omnetpp.ini,
General-0-20250411-14:41:38-6613,runattr,,,iterationvars,,
General-0-20250411-14:41:38-6613,runattr,,,iterationvarsd,,
General-0-20250411-14:41:38-6613,runattr,,,iterationvarsf,,
General-0-20250411-14:41:38-6613,runattr,,,measurement,,
General-0-20250411-14:41:38-6613,runattr,,,network,meshnetwork,
General-0-20250411-14:41:38-6613,runattr,,,processid,6613,
General-0-20250411-14:41:38-6613,runattr,,,repetition,0,
General-0-20250411-14:41:38-6613,runattr,,,replication,#0,
General-0-20250411-14:41:38-6613,runattr,,,resultdir,results,
General-0-20250411-14:41:38-6613,runattr,,,runnumber,0,
General-0-20250411-14:41:38-6613,runattr,,,seedset,0,
General-0-20250411-14:41:38-6613,config,,,network,meshnetwork,
General-0-20250411-14:41:38-6613,config,,,sim-time-limit,10s,
General-0-20250411-14:41:38-6613,param,meshnetwork,typename,,,"""meshnetwork"""
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0],typename,,,"""GossipNode"""
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[0].channel,typename,,,"""meshnetwork.Channel"""
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[0].channel,disabled,,,false
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[0].channel,disabled,mutable,,
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[0].channel,delay,,,0.1s
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[0].channel,delay,mutable,,
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[0].channel,delay,unit,s,
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[1].channel,typename,,,"""meshnetwork.Channel"""
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[1].channel,disabled,,,false
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[1].channel,disabled,mutable,,
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[1].channel,delay,,,0.1s
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[1].channel,delay,mutable,,
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[1].channel,delay,unit,s,
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[2].channel,typename,,,"""meshnetwork.Channel"""
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[2].channel,disabled,,,false
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[2].channel,disabled,mutable,,
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[2].channel,delay,,,0.1s
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[2].channel,delay,mutable,,
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[2].channel,delay,unit,s,
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[3].channel,typename,,,"""meshnetwork.Channel"""
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[3].channel,disabled,,,false
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[3].channel,disabled,mutable,,
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[3].channel,delay,,,0.1s
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[3].channel,delay,mutable,,
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[3].channel,delay,unit,s,
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[4].channel,typename,,,"""meshnetwork.Channel"""
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[4].channel,disabled,,,false
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[4].channel,disabled,mutable,,
General-0-20250411-14:41:38-6613,param,meshnetwork.node[0].out[4].channel,delay,,,0.1s
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[4].channel,delay,mutable,,
General-0-20250411-14:41:38-6613,attr,meshnetwork.node[0].out[4].channel,delay,unit,s,
