Time,Direction,Movement,Volume
06:00,Northbound,Right,16
07:00,Northbound,Right,21
08:00,Northbound,Right,21
09:00,Northbound,Right,17
10:00,Northbound,Right,27
11:00,Northbound,Right,20
12:00,Northbound,Right,23
13:00,Northbound,Right,15
14:00,Northbound,Right,19
15:00,Northbound,Right,22
16:00,Northbound,Right,13
17:00,Northbound,Right,19
18:00,Northbound,Right,16
19:00,Northbound,Right,23
20:00,Northbound,Right,21
21:00,Northbound,Right,21
22:00,Northbound,Right,14
06:00,Northbound,Thru,20
07:00,Northbound,Thru,22
08:00,Northbound,Thru,17
09:00,Northbound,Thru,23
10:00,Northbound,Thru,17
11:00,Northbound,Thru,25
12:00,Northbound,Thru,18
13:00,Northbound,Thru,13
14:00,Northbound,Thru,17
15:00,Northbound,Thru,29
16:00,Northbound,Thru,26
17:00,Northbound,Thru,20
18:00,Northbound,Thru,19
19:00,Northbound,Thru,21
20:00,Northbound,Thru,22
21:00,Northbound,Thru,25
22:00,Northbound,Thru,22
06:00,Northbound,Left,12
07:00,Northbound,Left,19
08:00,Northbound,Left,25
09:00,Northbound,Left,19
10:00,Northbound,Left,28
11:00,Northbound,Left,17
12:00,Northbound,Left,25
13:00,Northbound,Left,19
14:00,Northbound,Left,12
15:00,Northbound,Left,19
16:00,Northbound,Left,28
17:00,Northbound,Left,15
18:00,Northbound,Left,26
19:00,Northbound,Left,19
20:00,Northbound,Left,26
21:00,Northbound,Left,13
22:00,Northbound,Left,26
06:00,Northbound,U-Turn,16
07:00,Northbound,U-Turn,18
08:00,Northbound,U-Turn,28
09:00,Northbound,U-Turn,24
10:00,Northbound,U-Turn,26
11:00,Northbound,U-Turn,24
12:00,Northbound,U-Turn,18
13:00,Northbound,U-Turn,14
14:00,Northbound,U-Turn,26
15:00,Northbound,U-Turn,10
16:00,Northbound,U-Turn,24
17:00,Northbound,U-Turn,15
18:00,Northbound,U-Turn,12
19:00,Northbound,U-Turn,20
20:00,Northbound,U-Turn,16
21:00,Northbound,U-Turn,14
22:00,Northbound,U-Turn,22
06:00,Southbound,Right,16
07:00,Southbound,Right,31
08:00,Southbound,Right,18
09:00,Southbound,Right,17
10:00,Southbound,Right,25
11:00,Southbound,Right,15
12:00,Southbound,Right,15
13:00,Southbound,Right,21
14:00,Southbound,Right,27
15:00,Southbound,Right,16
16:00,Southbound,Right,20
17:00,Southbound,Right,21
18:00,Southbound,Right,23
19:00,Southbound,Right,12
20:00,Southbound,Right,22
21:00,Southbound,Right,19
22:00,Southbound,Right,16
06:00,Southbound,Thru,24
07:00,Southbound,Thru,14
08:00,Southbound,Thru,21
09:00,Southbound,Thru,21
10:00,Southbound,Thru,28
11:00,Southbound,Thru,19
12:00,Southbound,Thru,32
13:00,Southbound,Thru,18
14:00,Southbound,Thru,18
15:00,Southbound,Thru,14
16:00,Southbound,Thru,25
17:00,Southbound,Thru,16
18:00,Southbound,Thru,16
19:00,Southbound,Thru,17
20:00,Southbound,Thru,20
21:00,Southbound,Thru,21
22:00,Southbound,Thru,17
06:00,Southbound,Left,14
07:00,Southbound,Left,21
08:00,Southbound,Left,21
09:00,Southbound,Left,24
10:00,Southbound,Left,18
11:00,Southbound,Left,19
12:00,Southbound,Left,30
13:00,Southbound,Left,21
14:00,Southbound,Left,22
15:00,Southbound,Left,13
16:00,Southbound,Left,17
17:00,Southbound,Left,20
18:00,Southbound,Left,29
19:00,Southbound,Left,17
20:00,Southbound,Left,21
21:00,Southbound,Left,20
22:00,Southbound,Left,19
06:00,Southbound,U-Turn,15
07:00,Southbound,U-Turn,14
08:00,Southbound,U-Turn,16
09:00,Southbound,U-Turn,30
10:00,Southbound,U-Turn,20
11:00,Southbound,U-Turn,17
12:00,Southbound,U-Turn,21
13:00,Southbound,U-Turn,27
14:00,Southbound,U-Turn,29
15:00,Southbound,U-Turn,24
16:00,Southbound,U-Turn,17
17:00,Southbound,U-Turn,20
18:00,Southbound,U-Turn,25
19:00,Southbound,U-Turn,22
20:00,Southbound,U-Turn,26
21:00,Southbound,U-Turn,23
22:00,Southbound,U-Turn,22
06:00,Eastbound,Right,9
07:00,Eastbound,Right,11
08:00,Eastbound,Right,14
09:00,Eastbound,Right,21
10:00,Eastbound,Right,17
11:00,Eastbound,Right,14
12:00,Eastbound,Right,20
13:00,Eastbound,Right,24
14:00,Eastbound,Right,17
15:00,Eastbound,Right,27
16:00,Eastbound,Right,24
17:00,Eastbound,Right,16
18:00,Eastbound,Right,16
19:00,Eastbound,Right,18
20:00,Eastbound,Right,24
21:00,Eastbound,Right,18
22:00,Eastbound,Right,22
06:00,Eastbound,Thru,20
07:00,Eastbound,Thru,18
08:00,Eastbound,Thru,16
09:00,Eastbound,Thru,18
10:00,Eastbound,Thru,18
11:00,Eastbound,Thru,16
12:00,Eastbound,Thru,21
13:00,Eastbound,Thru,22
14:00,Eastbound,Thru,25
15:00,Eastbound,Thru,21
16:00,Eastbound,Thru,17
17:00,Eastbound,Thru,24
18:00,Eastbound,Thru,19
19:00,Eastbound,Thru,19
20:00,Eastbound,Thru,17
21:00,Eastbound,Thru,22
22:00,Eastbound,Thru,17
06:00,Eastbound,Left,18
07:00,Eastbound,Left,26
08:00,Eastbound,Left,18
09:00,Eastbound,Left,21
10:00,Eastbound,Left,29
11:00,Eastbound,Left,16
12:00,Eastbound,Left,18
13:00,Eastbound,Left,29
14:00,Eastbound,Left,22
15:00,Eastbound,Left,22
16:00,Eastbound,Left,14
17:00,Eastbound,Left,19
18:00,Eastbound,Left,15
19:00,Eastbound,Left,23
20:00,Eastbound,Left,22
21:00,Eastbound,Left,14
22:00,Eastbound,Left,16
06:00,Eastbound,U-Turn,17
07:00,Eastbound,U-Turn,25
08:00,Eastbound,U-Turn,17
09:00,Eastbound,U-Turn,25
10:00,Eastbound,U-Turn,13
11:00,Eastbound,U-Turn,15
12:00,Eastbound,U-Turn,16
13:00,Eastbound,U-Turn,20
14:00,Eastbound,U-Turn,10
15:00,Eastbound,U-Turn,15
16:00,Eastbound,U-Turn,31
17:00,Eastbound,U-Turn,15
18:00,Eastbound,U-Turn,23
19:00,Eastbound,U-Turn,24
20:00,Eastbound,U-Turn,23
21:00,Eastbound,U-Turn,27
